"HolderAddress","Quantity","PendingBalanceUpdate"
"0x1c4e354346e74ee483e92e94dc35ecd663d172ac","3","No"
"0xa1c846d4a9753c6dd33329060e4102917e6a48bf","3","No"
"0xd0530573b04e8c51ea9e3425158a1851beb60c29","3","No"
"0xf4f0d1e9f26eb5f50732387af417e5e690acded7","3","No"
"0xe54cf30a3f31f3076e9ab5bd122379545a137b4c","3","No"
"0xbe69cf586b135d15fbb0dbee5d435f3984486e99","3","No"
"0x10c1c5554d4ed417d1d3b0e9c7b08e057bc9cb3c","3","No"
"0x15b383b0e83a1311a006567f6b330fba7ec26d88","3","No"
"0x18075f4f3fb3526e6e4d8f82c7464496d7c2cf9e","3","No"
"0xa4675c307c24b8583d3c6f6e0fab8c1ddfaaed58","3","No"
"0x53f29010087b736604f58621e02f8e94175feaca","3","No"
"0xbfcc73dc4b03f0febb5ce1d53e5e410a3ee8cfc1","3","No"
"0x97280268dba80f2d32683b7c0662f26eb27dd175","3","No"
"0x95eaf995f5e095586214b1f5c0e3c3a2508d866d","3","No"
"0x9571786ca88afb3c42f33668195f5795c7c3af0f","3","No"
"0xc008fce4b57d66d8e0770306b28b04ac45565cf0","3","No"
"0x994cc164ddb6d6fdbda640d7998a593e78b0001f","3","No"
"0xbb73c02cd7a3f8417ef31a40bbf7b517dedc13d1","3","No"
"0x42c87cbc6de0940ecf441afae0b94e6638194c1e","3","No"
"0x34e7f6a4d0bb1fa7afe548582c47df337fc337e6","3","No"
"0x5f98e038235b0f40e0da56cd89b3f8078324ccee","3","No"
"0xc8df599a079a81904624e90a014f47dcdad03760","3","No"
"0xc0f302cb3d5471320ef4a611ee0bcc19292961ab","3","No"
"0x5e905bfa84b9651d7ab807ef640f30f0b10c1339","3","No"
"0xdc40fc2915331297b52e47990fd033a1b42f16dc","3","No"
"0x2b8a85ad94e02c1ec7d78d98ffb0bd9a3e9f1411","3","No"
"0x49885298d3e1e674631fee117b1530eddf75e01d","3","No"
"0x1c57c45b997908d073c0b8d83d021a51db06715c","3","No"
"0xdb9986bd0596b8a4873b09b4a10b81b13f2c9ddd","3","No"
"0xcbc26ec2e214498ce08b7765e10a074b0b69444c","3","No"
"0x2dfa8ebc4655b06c1fa0b17182f18571833558a9","3","No"
"0xc19b901dce702d89bb0a531ca8791a831fd9dfb6","3","No"
"0x4534c697798050a3a24043726b2006ce4ba2575f","3","No"
"0x0851ced43aab7bc38b0fa4fbc4e3849634d2ca67","3","No"
"0x4b8e65cb88a840149dd173e8f0702cb07d8e3401","3","No"
"0x1f5b92a52cfddbd6d3a02473bdbcf73051720c28","3","No"
"0x52f349edd4dcb7a3c60bf3066ce9a23962726d25","3","No"
"0x67123c503ebd779d3a61dce56c07a7be89c993f8","3","No"
"0x6e437c80ae150eba3bab30feb76a09a5c4dc8181","3","No"
"0x0cf43674e2ff8aa07d904847f55e3c2afdc3a9fa","3","No"
"0x34756d8400f2426851dc46d6ab38f0df004ce1e7","3","No"
"0x9946a75c2a8632d53b20be3655d1d57d58cec83c","3","No"
"0x7c7eedcc12f9170edffb681c0bf26efa23e7ec3c","3","No"
"0x109249f07754df84603238d733a4578f9763ca12","3","No"
"0x153a9265fe1503b53c9d7e232914a43e4955e9a6","3","No"
"0x15890006ee3c359b721b640e826daeb9b5febf73","3","No"
"0x4ef75039e375674a6631a9b4d0b1ea937fc540dd","3","No"
"0x8618f038e8e771bab2cc5967680febcbe0b2a559","3","No"
"0x70af781f6851b057adcd963da042aaca1915050b","3","No"
"0xce6b78b7dc4c139707b8fc3163e8c3ddb9640da3","3","No"
"0xef57a5c5b149dbc7f63d28c3cceaaf4944e8ca4b","3","No"
"0x658fb634fae88897d0d1db2b2a0aaf0732d950bd","3","No"
"0xa4e3fd4141e8d8ac174f89a877ae93f2e9d529ab","3","No"
"0xa3810200a8005b00d0764e209d8cf9498bbc11de","3","No"
"0x577adacfc2abc51e98568d55916461655adf3fd0","3","No"
"0x95c6d0f794b9c629c94b1cbd9bbf4c290d326f99","3","No"
"0x4ab538b1758a27310ed5503996357001235681cb","3","No"
"0x288403f552e1838875e29b6a55c9983fcbf3cb5e","3","No"
"0x54f2a20e81f826de41a3eba33c5a1a839b0cd5eb","3","No"
